YEAR,dma_code,hhinc_per_person_mean,hhinc_per_person_median,employment_rate
2006,500,33417.24963,27270.87375,0.965625
2006,501,47016.51073,31993.7625,0.946031746
2006,502,29816.32954,24376.2,0.96013289
2006,503,27248.96733,22683.40833,0.935691318
2006,504,38671.39496,31714.45188,0.957703927
2006,505,36123.57243,29874.38733,0.926380368
2006,506,45750.23262,34317.54226,0.943952802
2006,507,31531.26168,24706.29438,0.955479452
2006,508,30315.52342,24300.02438,0.95890411
2006,509,28973.26201,24551.23466,0.917888563
2006,510,31931.38048,25391.875,0.958199357
2006,511,49918.17281,40119.1625,0.969014085
2006,512,41091.5729,33517.275,0.972809668
2006,513,29451.77258,23868.3625,0.914012739
2006,514,28995.90324,25129.49229,0.911671924
2006,515,36870.61607,29031.37708,0.950581395
2006,516,26756.51223,21329.175,0.942857143
2006,517,32062.48679,24884.0375,0.903030303
2006,518,30065.57326,23284.34938,0.950769231
2006,519,35915.60395,27084.66667,0.940652819
2006,520,30186.46533,25046.5455,0.918918919
2006,521,34657.36371,28587.79796,0.94011976
2006,522,29614.52466,22683.40833,0.944983819
2006,523,33895.49815,27524.7925,0.976878613
2006,524,39603.90109,30521.03375,0.942363112
2006,525,23152.80321,18789.9875,0.934210526
2006,526,28569.42067,23157.39,0.921383648
2006,527,35313.33948,28692.81875,0.9375
2006,528,31127.4828,22852.6875,0.95379538
2006,529,31051.70667,24553.94313,0.957055215
2006,530,29054.00869,21609.75522,0.953416149
2006,531,25154.38005,19297.825,0.934545455
2006,532,34539.50889,28616.64313,0.941520468
2006,533,45665.02142,35548.625,0.946587537
2006,534,31390.6676,23494.01371,0.940972222
2006,535,34648.79552,27931.0625,0.93982808
2006,536,27261.81241,23137.0765,0.959731544
2006,537,29030.4799,22928.86313,0.93015873
2006,538,37438.94485,28324.63656,0.923295455
2006,539,34241.8558,25696.5775,0.954098361
2006,540,29042.60587,23360.525,0.942857143
2006,541,27886.15409,22466.731,0.927868852
2006,542,31697.98643,25887.01656,0.93993994
2006,543,32961.19416,27423.225,0.93597561
2006,544,37651.1965,32501.6,0.96961326
2006,545,28077.81914,23360.525,0.950292398
2006,546,31071.19747,23730.82318,0.937125749
2006,547,30554.6917,25696.5775,0.93255132
2006,548,42854.7163,29014.44917,0.95221843
2006,549,25711.99815,20044.34613,0.924914676
2006,550,34635.44887,26128.23938,0.943820225
2006,551,30195.55968,26610.685,0.937304075
2006,552,21115.68587,17613.49729,0.962199313
2006,553,26827.33559,24274.6325,0.956521739
2006,554,25636.78167,20821.3375,0.91349481
2006,555,35338.06812,27423.225,0.960725076
2006,556,39266.63351,31368.1067,0.945558739
2006,557,27262.70671,21837.0125,0.940350877
2006,558,31891.10653,27283.40041,0.943283582
2006,559,22463.77065,18282.15,0.900793651
2006,560,34683.56129,27156.61031,0.946268657
2006,561,37121.03514,28946.7375,0.953703704
2006,563,31101.44665,25882.78458,0.930835735
2006,564,26732.44717,20211.9325,0.960288809
2006,565,28017.8482,21334.25338,0.928802589
2006,566,33178.84424,27359.74531,0.958333333
2006,567,28433.26673,22344.85,0.921768707
2006,569,28735.72899,24706.29438,0.943037975
2006,570,27500.2609,21126.04,0.937293729
2006,571,37283.96685,29175.26438,0.951851852
2006,573,28105.60185,23919.14625,0.976190476
2006,574,26444.32126,22776.51188,0.957186544
2006,575,28647.48816,22768.04792,0.925149701
2006,576,35394.58231,27143.91438,0.93442623
2006,577,30550.31895,24376.2,0.946202532
2006,581,25217.41758,21190.36608,0.970967742
2006,582,30098.1016,23993.62908,0.939759036
2006,583,27412.91387,21644.03425,0.927536232
2006,584,38180.27631,28718.21063,0.956268222
2006,588,32845.63062,26458.33375,0.922413793
2006,592,31061.78928,21109.11208,0.957654723
2006,596,26967.96222,22344.85,0.916184971
2006,597,24310.31926,18840.77125,0.949612403
2006,598,23226.43655,19297.825,0.94095941
2006,600,27179.91969,20101.90104,0.945762712
2006,602,39722.36386,30096.98944,0.93768546
2006,603,25038.07883,20313.5,0.950819672
2006,604,27431.14117,24274.6325,0.975206612
2006,605,31807.58724,25290.3075,0.956140351
2006,606,27054.58523,20512.40302,0.951048951
2006,609,34936.98271,27992.003,0.940993789
2006,610,30604.35803,27215.85802,0.925816024
2006,611,36479.67938,29759.2775,0.965317919
2006,612,25707.50701,19907.23,0.949640288
2006,613,38602.50689,30537.96167,0.940340909
2006,616,34740.0502,27846.42292,0.935028249
2006,617,38973.32706,31028.87125,0.929539295
2006,618,38449.76422,29420.71917,0.923076923
2006,619,25594.94229,20542.02688,0.953488372
2006,622,30611.51475,21329.175,0.921052632
2006,623,39883.57499,29615.39021,0.947826087
2006,624,27076.70039,22446.4175,0.963585434
2006,625,29995.30547,23563.66,0.933544304
2006,626,35623.61262,26052.06375,0.960365854
2006,627,29571.55334,21904.72417,0.925806452
2006,628,24959.51976,18552.99667,0.930232558
2006,630,33893.38419,23995.32188,0.958064516
2006,631,24254.79168,19364.09779,0.948717949
2006,632,25531.77553,21862.40438,0.940594059
2006,633,35748.6236,24376.2,0.960725076
2006,634,30763.93886,21918.2665,0.968553459
2006,635,42423.78484,30978.0875,0.955555556
2006,636,19198.14871,12792.42663,0.932384342
2006,637,32046.23667,25713.50542,0.938337802
2006,638,29487.63454,25738.89729,0.979827089
2006,639,26465.35613,23479.02042,0.918831169
2006,640,30116.18637,23360.525,0.914110429
2006,641,32383.43284,25010.99688,0.935483871
2006,642,28442.17562,22344.85,0.952531646
2006,643,28583.70936,20905.97708,0.906040268
2006,644,26936.75419,21278.39125,0.953488372
2006,647,21328.11633,15235.125,0.884476534
2006,648,31422.26296,25391.875,0.956268222
2006,649,28960.06112,24376.2,0.955835962
2006,650,33383.94904,25264.91563,0.965732087
2006,651,27480.75148,21430.7425,0.949206349
2006,652,32332.91684,26157.18611,0.949860724
2006,656,29985.29363,23606.82619,0.937293729
2006,657,26238.80034,21346.94931,0.946996466
2006,658,30299.75899,26877.29969,0.962209302
2006,659,32633.77782,25287.76831,0.940298507
2006,661,33379.7262,24426.98375,0.947040498
2006,662,28459.17118,21842.09088,0.938110749
2006,669,34996.63052,29810.06125,0.958563536
2006,670,29348.98367,22065.53938,0.965517241
2006,671,31307.12625,23487.48438,0.958064516
2006,673,24321.65927,19346.06956,0.935483871
2006,675,32343.08225,25899.7125,0.947852761
2006,676,29024.73051,23477.32762,0.940625
2006,678,30325.58673,25391.875,0.953216374
2006,679,34211.85349,27947.99042,0.967567568
2006,682,32041.83304,26079.14842,0.958208955
2006,686,29103.5154,23741.40313,0.916955017
2006,687,29240.80554,25065.33549,0.974358974
2006,691,28839.35018,22344.85,0.926517572
2006,692,31597.0647,24037.64167,0.943333333
2006,693,29366.68888,22514.12917,0.939297125
2006,698,29548.99621,23969.93,0.955555556
2006,702,30229.26892,25391.875,0.969101124
2006,705,32762.43008,26407.55,0.949704142
2006,709,28530.77061,21329.175,0.916943522
2006,710,25823.70378,19619.45542,0.946666667
2006,711,25648.1298,18722.27583,0.94980695
2006,716,32644.78301,25214.13188,0.93768546
2006,717,27226.83858,23375.76013,0.975077882
2006,718,28921.8081,21278.39125,0.922829582
2006,722,31743.19683,24884.0375,0.980169972
2006,724,31537.86053,27423.225,0.961424332
2006,725,29849.77313,24426.98375,0.985714286
2006,734,23334.32295,19221.64938,0.927152318
2006,736,28012.06935,22344.85,0.927899687
2006,737,31301.79226,26307.25209,0.977077364
2006,740,28330.70031,24147.67313,0.976190476
2006,746,29140.58942,22370.24188,0.916666667
2006,749,21577.42967,13533.86938,0.94984326
2006,751,39475.05672,30675.92419,0.954054054
2006,752,35368.16596,28438.9,0.955489614
2006,753,36641.11347,27592.50417,0.975384615
2006,754,31277.31111,26305.9825,0.962962963
2006,755,27146.79318,23385.91688,0.953416149
2006,756,31399.51926,26610.685,0.964383562
2006,757,35808.60665,27423.225,0.947826087
2006,758,28242.23647,22581.84083,0.962209302
2006,759,29804.04695,24579.335,0.962427746
2006,760,27610.62347,21600.02167,0.977777778
2006,762,27897.12507,22344.85,0.948881789
2006,764,34424.3121,26636.07688,0.959064327
2006,765,24041.09479,16927.91667,0.928082192
2006,766,27818.68585,24376.2,0.963746224
2006,767,33058.31314,26407.55,0.969325153
2006,770,32646.45806,27161.51941,0.972727273
2006,771,25138.03112,18536.06875,0.903571429
2006,773,32657.08291,26420.24594,0.969230769
2006,789,31841.33203,24035.94888,0.944805195
2006,790,29941.56862,22090.93125,0.930091185
2006,798,26577.17551,22243.2825,0.948948949
2006,800,31912.28036,23258.9575,0.898148148
2006,801,29412.36456,24477.7675,0.950657895
